"","reads.in","reads.out"
"c17t3post_S397_L001_R1_001.fastq.gz",17133,17131
"c17t3pre_S396_L001_R1_001.fastq.gz",15832,15831
"c17t3rear_S421_L001_R1_001.fastq.gz",20933,20917
"c17t4bf_S498_L001_R1_001.fastq.gz",23351,23319
"c17t4bw_S497_L001_R1_001.fastq.gz",27453,27429
"c17t4hull_S499_L001_R1_001.fastq.gz",2388,2387
"c17t4post_S526_L001_R1_001.fastq.gz",24512,24509
"c17t4pre_S525_L001_R1_001.fastq.gz",26237,26233
"c17t4rear_S500_L001_R1_001.fastq.gz",1088,1088
"c18t1bf_S148_L001_R1_001.fastq.gz",19997,19989
"c18t1bw_S147_L001_R1_001.fastq.gz",19606,19592
"c18t1hull_S149_L001_R1_001.fastq.gz",27482,27478
"c18t1post_S124_L001_R1_001.fastq.gz",20287,20286
"c18t1pre_S123_L001_R1_001.fastq.gz",15745,15744
"c18t1rear_S150_L001_R1_001.fastq.gz",18698,18698
"c18t3bf_S423_L001_R1_001.fastq.gz",25798,25772
"c18t3bw_S422_L001_R1_001.fastq.gz",21648,21636
"c18t3hull_S424_L001_R1_001.fastq.gz",44895,44856
"c18t3post_S399_L001_R1_001.fastq.gz",22583,22580
"c18t3pre_S398_L001_R1_001.fastq.gz",15783,15780
"c18t3rear_S425_L001_R1_001.fastq.gz",16754,16748
"c19t1bf_S152_L001_R1_001.fastq.gz",15269,15256
"c19t1bw_S151_L001_R1_001.fastq.gz",20070,20067
"c19t1hull_S153_L001_R1_001.fastq.gz",22,22
"c19t1post_S126_L001_R1_001.fastq.gz",19429,19425
"c19t1pre_S125_L001_R1_001.fastq.gz",15684,15684
"c19t1rear_S154_L001_R1_001.fastq.gz",17,15
"c19t2bf_S224_L001_R1_001.fastq.gz",19543,19527
"c19t2bw_S223_L001_R1_001.fastq.gz",16228,16190
"c19t2hull_S225_L001_R1_001.fastq.gz",12823,12818
"c19t2post_S202_L001_R1_001.fastq.gz",16818,16816
"c19t2pre_S201_L001_R1_001.fastq.gz",16309,16309
"c19t2rear_S226_L001_R1_001.fastq.gz",4280,4280
"c19t3bf_S427_L001_R1_001.fastq.gz",20822,20755
"c19t3bw_S426_L001_R1_001.fastq.gz",18961,18943
"c19t3hull_S428_L001_R1_001.fastq.gz",6262,6260
"c19t3post_S401_L001_R1_001.fastq.gz",22706,22703
"c19t3pre_S400_L001_R1_001.fastq.gz",16194,16190
"c19t3rear_S429_L001_R1_001.fastq.gz",9618,9606
"c19t4bf_S494_L001_R1_001.fastq.gz",20692,20621
"c19t4bw_S493_L001_R1_001.fastq.gz",13966,13944
"c19t4hull_S495_L001_R1_001.fastq.gz",13283,13283
"c19t4post_S524_L001_R1_001.fastq.gz",32719,32718
"c19t4pre_S523_L001_R1_001.fastq.gz",20678,20675
"c19t4rear_S496_L001_R1_001.fastq.gz",32290,32278
"c1t1bf_S42_L001_R1_001.fastq.gz",18354,18338
"c1t1bw_S43_L001_R1_001.fastq.gz",19362,19356
"c1t1hull_S36_L001_R1_001.fastq.gz",12729,12718
"c1t1post_S7_L001_R1_001.fastq.gz",17695,17695
"c1t1pre_S5_L001_R1_001.fastq.gz",21772,21770
"c1t1rear_S26_L001_R1_001.fastq.gz",15861,15857
"c1t3bf_S310_L001_R1_001.fastq.gz",14022,14005
"c1t3bw_S309_L001_R1_001.fastq.gz",17616,17612
"c1t3hull_S311_L001_R1_001.fastq.gz",30619,30609
"c1t3post_S294_L001_R1_001.fastq.gz",22366,22363
"c1t3pre_S293_L001_R1_001.fastq.gz",14450,14450
"c1t3rear_S312_L001_R1_001.fastq.gz",8733,8732
"c20t1bf_S156_L001_R1_001.fastq.gz",11839,11838
"c20t1bw_S155_L001_R1_001.fastq.gz",14430,14427
"c20t1hull_S157_L001_R1_001.fastq.gz",17850,17850
"c20t1post_S128_L001_R1_001.fastq.gz",16814,16813
"c20t1pre_S127_L001_R1_001.fastq.gz",21793,21791
"c20t1rear_S158_L001_R1_001.fastq.gz",5241,5241
"c20t3bf_S431_L001_R1_001.fastq.gz",20863,20825
"c20t3bw_S430_L001_R1_001.fastq.gz",17828,17813
"c20t3hull_S432_L001_R1_001.fastq.gz",64076,64058
"c20t3post_S403_L001_R1_001.fastq.gz",17081,17080
"c20t3pre_S402_L001_R1_001.fastq.gz",6759,6758
"c20t3rear_S433_L001_R1_001.fastq.gz",11342,11338
"c21t1bf_S160_L001_R1_001.fastq.gz",34516,34501
"c21t1bw_S159_L001_R1_001.fastq.gz",29650,29621
"c21t1hull_S161_L001_R1_001.fastq.gz",11083,11079
"c21t1post_S130_L001_R1_001.fastq.gz",10670,10669
"c21t1pre_S129_L001_R1_001.fastq.gz",16905,16903
"c21t1rear_S162_L001_R1_001.fastq.gz",35243,35235
"c21t2bf_S228_L001_R1_001.fastq.gz",13767,13707
"c21t2bw_S227_L001_R1_001.fastq.gz",14814,14675
"c21t2hull_S229_L001_R1_001.fastq.gz",17747,17739
"c21t2post_S204_L001_R1_001.fastq.gz",13849,13847
"c21t2pre_S203_L001_R1_001.fastq.gz",14447,14445
"c21t2rear_S230_L001_R1_001.fastq.gz",13441,13435
"c21t3bf_S435_L001_R1_001.fastq.gz",18977,18946
"c21t3bw_S434_L001_R1_001.fastq.gz",19238,19206
"c21t3hull_S436_L001_R1_001.fastq.gz",12073,12065
"c21t3post_S405_L001_R1_001.fastq.gz",10188,10188
"c21t3pre_S404_L001_R1_001.fastq.gz",18315,18314
"c21t3rear_S437_L001_R1_001.fastq.gz",20502,20498
