sample_type,study,transit,swab_type,filter_type,location,boat,old_fastq_name,read,is.duplicated,sample.names
boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,Box10-35,R1,not_duplicate,Box10-35
openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,Box10-54,R1,not_duplicate,Box10-54
openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,Box10-53,R1,not_duplicate,Box10-53
boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,Box10-36,R1,not_duplicate,Box10-36
openwater,ChesapeakeBay,NA,nonswab,post,NA,NA,Box11-39,R1,not_duplicate,Box11-39
boat,ChesapeakeBay,two,drip,drip,Norfolk,Callinectes,Box4-55,R1,not_duplicate,Box4-55
boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,Box11-14,R1,not_duplicate,Box11-14
boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,Box11-13,R1,not_duplicate,Box11-13
boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,Box11-15,R1,not_duplicate,Box11-15
openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,Box11-38,R1,not_duplicate,Box11-38
boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,Box11-16,R1,not_duplicate,Box11-16
