sample_type,study,transit,swab_type,filter_type,location,boat,old_fastq_name,read,is.duplicated,sample.names
openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,Box10-50,R1,not_duplicate,Box10-50
openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,Box10-49,R1,not_duplicate,Box10-49
boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,Box10-28,R1,not_duplicate,Box10-28
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box2-22,R1,not_duplicate,Box2-22
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box2-21,R1,not_duplicate,Box2-21
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box2-23,R1,not_duplicate,Box2-23
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box2-8,R1,not_duplicate,Box2-8
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box2-7,R1,not_duplicate,Box2-7
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box2-24,R1,not_duplicate,Box2-24
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box7-22,R1,not_duplicate,Box7-22
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box7-21,R1,not_duplicate,Box7-21
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box7-23,R1,not_duplicate,Box7-23
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box7-40,R1,not_duplicate,Box7-40
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box7-39,R1,not_duplicate,Box7-39
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box7-24,R1,not_duplicate,Box7-24
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box2-18,R1,not_duplicate,Box2-18
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box2-17,R1,not_duplicate,Box2-17
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box2-19,R1,not_duplicate,Box2-19
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box2-10,R1,not_duplicate,Box2-10
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box2-9,R1,not_duplicate,Box2-9
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box2-20,R1,not_duplicate,Box2-20
boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,Box4-24,R1,not_duplicate,Box4-24
boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,Box4-23,R1,not_duplicate,Box4-23
boat,ChesapeakeBay,two,hull,nonfilter,Norfolk,Callinectes,Box4-25,R1,not_duplicate,Box4-25
openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,Box4-6,R1,not_duplicate,Box4-6
openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,Box4-5,R1,not_duplicate,Box4-5
boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,Callinectes,Box4-26,R1,not_duplicate,Box4-26
