location_sampled,sample_type,sample_description,sample_detail_description,latitude,longitude,boat_name,transit,location_description,location,npoc_um,tn_um,phosphate_umoll,silicate_umoll,nn_umoll,ammonia_umoll,tds_mgl,temp_f,temp_c,odo_mgl,ph,orp,location_sampled_w_boat_name,rownames,geographic_order,true_geographic_order,km_to_baltimore
boat,surface,transom,boat_surface_transom,38.045586,-76.279732,Callinectes,t1,bay,Chesapeake,307.3093159,21.38976347,0.669670457,35.00204467,0.16153438,0.036464598,NA,NA,NA,NA,NA,NA,Callinectes,c14t1rear,14,30,136.11
boat,bilge,water,boat_bilge_water,38.045586,-76.279732,Callinectes,t1,bay,Chesapeake,307.3093159,21.38976347,0.669670457,35.00204467,0.16153438,0.036464598,NA,NA,NA,NA,NA,NA,Callinectes,c14t1bw,14,30,136.11
boat,bilge,biofilm,boat_bilge_biofilm,38.040802,-76.287781,Lookdown,t3,bay,Chesapeake,289.3253516,20.46877566,0.156750443,40.78547065,1.427083538,0.100974017,12318,85.4,29.66666667,9.69,8.5,-32.7,Lookdown,c14t3bf,14,31,136.52
openwater,filter,glass_fiber,openwater_filter_glass_fiber,38.040802,-76.287781,Lookdown,t3,bay,Chesapeake,289.3253516,20.46877566,0.156750443,40.78547065,1.427083538,0.100974017,NA,NA,NA,NA,NA,NA,openwater,c14t3pre,14,31,136.52
boat,surface,hull,boat_surface_hull,38.040802,-76.287781,Lookdown,t3,bay,Chesapeake,289.3253516,20.46877566,0.156750443,40.78547065,1.427083538,0.100974017,NA,NA,NA,NA,NA,NA,Lookdown,c14t3hull,14,31,136.52
openwater,filter,PES_0.2_um,openwater_filter_PES_0.2_um,38.040802,-76.287781,Lookdown,t3,bay,Chesapeake,289.3253516,20.46877566,0.156750443,40.78547065,1.427083538,0.100974017,NA,NA,NA,NA,NA,NA,openwater,c14t3post,14,31,136.52
boat,surface,transom,boat_surface_transom,38.040802,-76.287781,Lookdown,t3,bay,Chesapeake,289.3253516,20.46877566,0.156750443,40.78547065,1.427083538,0.100974017,NA,NA,NA,NA,NA,NA,Lookdown,c14t3rear,14,31,136.52
boat,bilge,water,boat_bilge_water,38.040802,-76.287781,Lookdown,t3,bay,Chesapeake,289.3253516,20.46877566,0.156750443,40.78547065,1.427083538,0.100974017,NA,NA,NA,NA,NA,NA,Lookdown,c14t3bw,14,31,136.52
boat,bilge,biofilm,boat_bilge_biofilm,38.231953,-76.29406,Callinectes,t1,bay,Chesapeake,309.8903478,26.95138755,0.146721225,52.86960421,0.436064221,0.188527036,3120,77,25,8.13,8.11,44.8,Callinectes,c13t1bf,13,26,115.5
openwater,filter,glass_fiber,openwater_filter_glass_fiber,38.231953,-76.29406,Callinectes,t1,bay,Chesapeake,309.8903478,26.95138755,0.146721225,52.86960421,0.436064221,0.188527036,NA,NA,NA,NA,8.06,NA,openwater,c13t1pre,13,26,115.5
boat,surface,hull,boat_surface_hull,38.231953,-76.29406,Callinectes,t1,bay,Chesapeake,309.8903478,26.95138755,0.146721225,52.86960421,0.436064221,0.188527036,NA,NA,NA,NA,8.06,NA,Callinectes,c13t1hull,13,26,115.5
openwater,filter,PES_0.2_um,openwater_filter_PES_0.2_um,38.231953,-76.29406,Callinectes,t1,bay,Chesapeake,309.8903478,26.95138755,0.146721225,52.86960421,0.436064221,0.188527036,NA,NA,NA,NA,8.06,NA,openwater,c13t1post,13,26,115.5
boat,surface,transom,boat_surface_transom,38.231953,-76.29406,Callinectes,t1,bay,Chesapeake,309.8903478,26.95138755,0.146721225,52.86960421,0.436064221,0.188527036,NA,NA,NA,NA,8.06,NA,Callinectes,c13t1rear,13,26,115.5
boat,bilge,water,boat_bilge_water,38.231953,-76.29406,Callinectes,t1,bay,Chesapeake,309.8903478,26.95138755,0.146721225,52.86960421,0.436064221,0.188527036,NA,NA,NA,NA,8.06,NA,Callinectes,c13t1bw,13,26,115.5
boat,bilge,biofilm,boat_bilge_biofilm,38.214413,-76.294403,Callinectes,t2,bay,Chesapeake,237.3716769,19.19081582,0.751332067,26.17420781,0.610175487,0.136932162,NA,NA,NA,NA,NA,NA,Callinectes,c13t2bf,32,29,117.41
openwater,filter,glass_fiber,openwater_filter_glass_fiber,38.214413,-76.294403,Callinectes,t2,bay,Chesapeake,237.3716769,19.19081582,0.751332067,26.17420781,0.610175487,0.136932162,NA,NA,NA,NA,NA,NA,openwater,c13t2pre,32,29,117.41
boat,surface,hull,boat_surface_hull,38.214413,-76.294403,Callinectes,t2,bay,Chesapeake,237.3716769,19.19081582,0.751332067,26.17420781,0.610175487,0.136932162,NA,NA,NA,NA,NA,NA,Callinectes,c13t2hull,32,29,117.41
openwater,filter,PES_0.2_um,openwater_filter_PES_0.2_um,38.214413,-76.294403,Callinectes,t2,bay,Chesapeake,237.3716769,19.19081582,0.751332067,26.17420781,0.610175487,0.136932162,NA,NA,NA,NA,NA,NA,openwater,c13t2post,32,29,117.41
boat,surface,transom,boat_surface_transom,38.214413,-76.294403,Callinectes,t2,bay,Chesapeake,237.3716769,19.19081582,0.751332067,26.17420781,0.610175487,0.136932162,NA,NA,NA,NA,NA,NA,Callinectes,c13t2rear,32,29,117.41
boat,bilge,water,boat_bilge_water,38.214413,-76.294403,Callinectes,t2,bay,Chesapeake,237.3716769,19.19081582,0.751332067,26.17420781,0.610175487,0.136932162,NA,NA,NA,NA,NA,NA,Callinectes,c13t2bw,32,29,117.41
boat,bilge,biofilm,boat_bilge_biofilm,36.994652,-76.296913,Callinectes,t1,port,Norfolk,352.1027084,19.84764434,0.619986385,45.20603179,1.905594749,0.805386487,1802,78.7,25.94444444,7.5,8.09,10.2,Callinectes,c21t1bf,21,49,251.9
openwater,filter,glass_fiber,openwater_filter_glass_fiber,36.994652,-76.296913,Callinectes,t1,port,Norfolk,352.1027084,19.84764434,0.619986385,45.20603179,1.905594749,0.805386487,NA,NA,NA,NA,NA,NA,openwater,c21t1pre,21,49,251.9
boat,surface,hull,boat_surface_hull,36.994652,-76.296913,Callinectes,t1,port,Norfolk,352.1027084,19.84764434,0.619986385,45.20603179,1.905594749,0.805386487,NA,NA,NA,NA,NA,NA,Callinectes,c21t1hull,21,49,251.9
openwater,filter,PES_0.2_um,openwater_filter_PES_0.2_um,36.994652,-76.296913,Callinectes,t1,port,Norfolk,352.1027084,19.84764434,0.619986385,45.20603179,1.905594749,0.805386487,NA,NA,NA,NA,NA,NA,openwater,c21t1post,21,49,251.9
boat,surface,transom,boat_surface_transom,36.994652,-76.296913,Callinectes,t1,port,Norfolk,352.1027084,19.84764434,0.619986385,45.20603179,1.905594749,0.805386487,NA,NA,NA,NA,NA,NA,Callinectes,c21t1rear,21,49,251.9
boat,bilge,water,boat_bilge_water,36.994652,-76.296913,Callinectes,t1,port,Norfolk,352.1027084,19.84764434,0.619986385,45.20603179,1.905594749,0.805386487,NA,NA,NA,NA,NA,NA,Callinectes,c21t1bw,21,49,251.9
boat,bilge,biofilm,boat_bilge_biofilm,36.994652,-76.296913,Lookdown,t3,port,Norfolk,248.944691,15.3712152,0.367040657,47.57468138,0.525281506,0.174599586,5746,NA,NA,NA,NA,NA,Lookdown,c21t3bf,21,49,251.9
openwater,filter,glass_fiber,openwater_filter_glass_fiber,36.994652,-76.296913,Lookdown,t3,port,Norfolk,248.944691,15.3712152,0.367040657,47.57468138,0.525281506,0.174599586,NA,NA,NA,NA,NA,NA,openwater,c21t3pre,21,49,251.9
