"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","threshold","Enriched_Genus"
"1410","sp14946","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Vicingus","serpentipes",1.23076923076923,-1.50897385884477e-07,0.501493359170144,-3.00896079928512e-07,0.999999759919663,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1411","sp15009","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae",NA,NA,1.30769230769231,-1.97575011288865e-07,0.519021089278251,-3.80668561201651e-07,0.999999696270432,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1412","sp15030","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus MBIC10613",NA,1.30769230769231,-1.97575011468475e-07,0.519021089278251,-3.80668561547707e-07,0.999999696270432,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1413","sp15041","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,1.30769230769231,-1.97575011426765e-07,0.519021089278251,-3.80668561467343e-07,0.999999696270432,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1414","sp15048","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter","fluminis",1.30769230769231,-1.97575011426765e-07,0.519021089278251,-3.80668561467342e-07,0.999999696270432,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1415","sp15057","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae",NA,NA,1.30769230769231,0.736965465057368,0.467240332500381,1.57727279473838,0.114732769422509,0.273151244235027,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1416","sp15065","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA,1.30769230769231,0.7369654181662,0.488689653558698,1.508043832726,0.131543308964046,0.298129964650125,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1417","sp15066","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceanobacter",NA,1.30769230769231,0.736965428244574,0.474490814463005,1.55317111687108,0.120382259633494,0.280073012208538,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1418","sp15067","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,1.11538461538462,0.185555637292817,0.457726677287604,0.405385236430575,0.685194361349716,0.819215072825041,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1419","sp15075","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307","gracile",1.30769230769231,0.7369654181662,0.488689653558698,1.508043832726,0.131543308964046,0.298129964650125,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1420","sp15106","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae",NA,NA,1.30769230769231,0.7369654181662,0.488689653558698,1.508043832726,0.131543308964046,0.298129964650125,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1421","sp15108","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,1.30769230769231,0.7369654181662,0.488689653558698,1.508043832726,0.131543308964046,0.298129964650125,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1422","sp15127","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA,1.30769230769231,0.7369654181662,0.488689653558698,1.508043832726,0.131543308964046,0.298129964650125,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1423","sp15129","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudooceanicola",NA,1.30769230769231,0.7369654181662,0.488689653558698,1.508043832726,0.131543308964046,0.298129964650125,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1424","sp15134","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI clade",NA,1.30769230769231,0.7369654181662,0.488689653558698,1.508043832726,0.131543308964046,0.298129964650125,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1425","sp15135","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,1.30769230769231,0.7369654181662,0.488689653558698,1.508043832726,0.131543308964046,0.298129964650125,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1426","sp15149","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA,1.30769230769231,0.7369654181662,0.488689653558697,1.508043832726,0.131543308964046,0.298129964650125,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1427","sp15154","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","LD29",NA,1.30769230769231,0.7369654181662,0.488689653558697,1.508043832726,0.131543308964046,0.298129964650125,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1428","sp15155","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae",NA,NA,1.11538461538462,0.32192802546415,0.464155094071287,0.693578567974753,0.487946538135783,0.598449761672721,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1429","sp15163","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","RS62 marine group",NA,1.30769230769231,0.7369654181662,0.488689653558698,1.508043832726,0.131543308964046,0.298129964650125,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1430","sp15164","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","jumunjinense",1.30769230769231,0.7369654181662,0.488689653558697,1.508043832726,0.131543308964046,0.298129964650125,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1431","sp15218","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae",NA,NA,1.30769230769231,-0.999999598365868,0.454179894545285,-2.20176985017588,0.0276815698095907,0.0993920931745936,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1432","sp15223","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,1.21153846153846,-0.754887210341204,0.441575406855501,-1.70953182315298,0.0873524821602436,0.228875513674404,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1433","sp15224","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus",NA,1.30769230769231,-0.999999598365868,0.454179894545285,-2.20176985017588,0.0276815698095906,0.0993920931745936,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1434","sp15247","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Malikia",NA,1.30769230769231,-0.999999598365867,0.454179894545285,-2.20176985017587,0.0276815698095908,0.0993920931745936,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1435","sp15579","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,1.11538461538462,-0.459431432458263,0.444124602025643,-1.03446517117675,0.300918750925472,0.463890975057523,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1436","sp15668","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus MBIC10613",NA,1.13461538461538,0.369233730076576,0.46412596037803,0.795546385243859,0.426295739978667,0.567067845479207,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1437","sp15674","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae",NA,NA,1.23076923076923,0.584962382518117,0.468232624163528,1.24929864415817,0.211555863657964,0.388989813822709,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1438","sp15688","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,1.28846153846154,-1.85879144799769e-07,0.514589173460592,-3.61218530016361e-07,0.999999711789312,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
